TeamId,TeamName,SubmissionDate,Score
24177,"Gender Based Model","2012-09-25 23:22:35",0.76555
24178,"Gender, Price and Class Based Model","2012-09-25 23:24:05",0.77990
24228,"My First Random Forest","2012-09-26 17:15:46",0.77512
24385,Data_Geek,"2012-09-28 21:46:59",0.77512
24418,"Ryan Reynolds","2012-09-29 04:51:02",0.76555
24385,Data_Geek,"2012-09-29 07:31:36",0.80861
24427,Sayani,"2012-09-29 13:32:06",0.74641
24427,Sayani,"2012-09-29 13:40:51",0.76555
24462,Webra,"2012-09-29 20:44:03",0.76555
24470,Kosmos,"2012-09-29 22:09:36",0.76077
24493,Awesomo!,"2012-09-30 02:54:33",0.76555
24427,Sayani,"2012-09-30 03:10:59",0.78947
24494,"Jason Karpeles","2012-09-30 04:16:10",0.00000
24494,"Jason Karpeles","2012-09-30 04:22:53",0.77990
24496,InvincibleGuy,"2012-09-30 04:38:59",0.77990
24492,"Tim Dumol","2012-09-30 05:02:25",0.00000
24492,"Tim Dumol","2012-09-30 05:07:14",0.74641
24517,"Team Paheli","2012-09-30 13:50:51",0.00000
24517,"Team Paheli","2012-09-30 13:56:04",0.67464
24537,"Thomas Legrand","2012-09-30 19:31:12",0.55502
24537,"Thomas Legrand","2012-09-30 20:17:04",0.77990
24541,houda,"2012-09-30 20:44:25",0.75120
24567,LapinAgile,"2012-10-01 07:06:32",0.77033
24576,razgon,"2012-10-01 10:13:43",0.77512
24577,yashoteja,"2012-10-01 10:20:48",0.76555
24517,"Team Paheli","2012-10-01 11:32:42",0.78469
24593,"Rudi Kruger","2012-10-01 16:53:23",0.53110
24593,"Rudi Kruger","2012-10-01 17:06:46",0.75120
24597,"Monkey Wrench Gang","2012-10-01 17:26:08",0.71770
24603,"Shashank Dass","2012-10-01 17:52:16",0.76555
24604,DHelquist,"2012-10-01 18:23:11",0.77512
24610,chwolfe,"2012-10-01 18:32:42",0.78469
24611,annic,"2012-10-01 18:40:08",0.76555
24615,minrenmtv,"2012-10-01 19:07:50",0.76555
24617,Benjamin,"2012-10-01 19:10:07",0.75120
24616,"Jack Harrison","2012-10-01 19:13:24",0.76555
24620,"Peter Jensen","2012-10-01 19:26:05",0.77990
24622,VG,"2012-10-01 19:56:57",0.74641
24626,"Daniel Velkov","2012-10-01 20:54:19",0.76077
24626,"Daniel Velkov","2012-10-01 20:59:45",0.76555
24611,annic,"2012-10-01 21:02:55",0.77512
24622,VG,"2012-10-01 21:03:29",0.75120
24629,p_5_,"2012-10-01 21:15:20",0.75598
24631,Sam,"2012-10-01 21:21:37",0.76555
24462,Webra,"2012-10-01 21:22:11",0.77990
24629,p_5_,"2012-10-01 21:25:54",0.77033
24633,riosgrande,"2012-10-01 21:32:58",0.55502
24636,SC,"2012-10-01 22:00:06",0.75120
24645,"Ivan Glushchenko","2012-10-02 00:09:27",0.76555
24493,Awesomo!,"2012-10-02 00:13:16",0.77990
24626,"Daniel Velkov","2012-10-02 00:35:24",0.77512
24566,this,"2012-10-02 00:44:46",0.76555
24647,Promsoft,"2012-10-02 00:47:58",0.77512
24629,p_5_,"2012-10-02 00:59:00",0.78469
24650,"Nathan Krapf","2012-10-02 01:31:10",0.70813
24629,p_5_,"2012-10-02 01:39:53",0.78947
24653,Damien,"2012-10-02 01:49:59",0.77033
24659,Sabir,"2012-10-02 02:45:14",0.44019
24662,deadbeatdawg,"2012-10-02 03:40:18",0.69856
24659,Sabir,"2012-10-02 03:53:51",0.77512
24662,deadbeatdawg,"2012-10-02 03:54:19",0.75120
24664,CMorton,"2012-10-02 04:30:03",0.78947
24665,rhydomako,"2012-10-02 04:43:58",0.77033
24668,otigo,"2012-10-02 05:13:39",0.55502
24567,LapinAgile,"2012-10-02 05:45:05",0.77990
24567,LapinAgile,"2012-10-02 05:46:03",0.78469
24593,"Rudi Kruger","2012-10-02 05:53:22",0.78469
24672,pbnyc,"2012-10-02 06:05:46",0.75598
24673,Satya,"2012-10-02 06:15:22",0.76077
24679,Fsytle,"2012-10-02 08:05:56",0.60287
24688,LWright,"2012-10-02 10:34:44",0.76555
24576,razgon,"2012-10-02 11:00:03",0.78469
24691,jph521,"2012-10-02 11:42:28",0.75120
24693,"Frédéric Paulin","2012-10-02 12:11:41",0.76555
24694,Aoxi,"2012-10-02 12:24:07",0.63636
24692,SunderAT,"2012-10-02 12:34:44",0.76555
24694,Aoxi,"2012-10-02 12:44:46",0.64115
24705,ihar,"2012-10-02 13:54:56",0.76555
24705,ihar,"2012-10-02 13:58:22",0.77033
24610,chwolfe,"2012-10-02 14:09:55",0.79426
24704,"The Russian Division","2012-10-02 14:31:09",0.77990
24636,SC,"2012-10-02 15:37:31",0.76077
24718,"WooBe @ Blend it Bayes!","2012-10-02 15:55:37",0.78947
24724,GW,"2012-10-02 17:01:55",0.76555
24597,"Monkey Wrench Gang","2012-10-02 17:05:33",0.74163
24691,jph521,"2012-10-02 17:15:10",0.77990
24731,"Greg P","2012-10-02 18:49:20",0.75598
24732,"Nathan Nguyen","2012-10-02 19:01:31",0.76555
24725," Greg P","2012-10-02 19:15:46",0.77033
24735,"Treasa Lynch","2012-10-02 19:24:01",0.76555
24631,Sam,"2012-10-02 19:38:24",0.77512
24722,DM1,"2012-10-02 19:42:15",0.75120
24604,DHelquist,"2012-10-02 19:45:06",0.78469
24505,rorich,"2012-10-02 19:51:51",0.00000
24616,"Jack Harrison","2012-10-02 21:14:42",0.77990
24747,"Lucas Mokrzycki","2012-10-02 21:38:53",0.66029
24749,"Siim K.","2012-10-02 21:43:50",0.74163
24755,Utnapishtim,"2012-10-02 22:45:34",0.00000
24749,"Siim K.","2012-10-02 22:55:49",0.77033
24756,Arjun,"2012-10-02 23:09:29",0.64115
24758,joshh,"2012-10-02 23:36:48",0.76555
24761,"Srikant Ravirala","2012-10-02 23:40:50",0.76555
24566,this,"2012-10-02 23:52:16",0.78947
24755,Utnapishtim,"2012-10-03 00:01:55",0.77033
24665,rhydomako,"2012-10-03 00:29:19",0.77990
24764,TH,"2012-10-03 00:42:26",0.76555
24621,MLNewbie,"2012-10-03 01:01:47",0.55981
24756,Arjun,"2012-10-03 02:01:16",0.76555
24731,"Greg P","2012-10-03 02:10:19",0.77512
24777,Learner_ahead,"2012-10-03 03:08:54",0.79426
24662,deadbeatdawg,"2012-10-03 03:12:27",0.81818
24778,Jared,"2012-10-03 03:50:35",0.09569
24779,overfitting,"2012-10-03 04:11:38",0.67464
24779,overfitting,"2012-10-03 04:20:11",0.75598
24629,p_5_,"2012-10-03 05:03:59",0.79904
24629,p_5_,"2012-10-03 05:11:35",0.80383
24505,rorich,"2012-10-03 05:26:54",0.75120
24782,chungsangh,"2012-10-03 05:32:58",0.76555
